workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-1048576,Chunk1200,Fanout,8,8388608,8,1,619604.50,63028,9747372,8403196,8403132,1048664,64,56072
fixed-1048576,Chunk16k,Backlog,8,8388608,1,1,210857.88,61,8396236,8395532,8395532,1048664,64,0
fixed-1048576,Chunk16k,Live,8,8388608,1,1,247350.38,574,8404620,8395740,8395740,1048664,64,529
fixed-1048576,Chunk16k,Fanout,8,8388608,8,1,236935.88,4708,8503212,8403196,8403132,1048664,64,4232
mixed-audio,Owned,Backlog,50,19000,1,40,218.61,40,12300,8908,8908,0,64,0
mixed-audio,Owned,Live,50,19000,1,40,286.90,41,12492,9100,9100,0,64,51
mixed-audio,Owned,Fanout,50,19000,8,40,1388.87,113,23148,16556,16492,0,64,408
mixed-audio,StreamOwned,Backlog,50,19000,1,40,379.18,90,15900,8980,8908,0,64,0
mixed-audio,StreamOwned,Live,50,19000,1,40,589.61,141,16892,9188,9188,88,64,151
mixed-audio,StreamOwned,Fanout,50,19000,8,40,2153.15,663,39548,16660,16580,88,64,1208
mixed-audio,Split,Backlog,50,19000,1,40,465.21,190,35700,32308,32308,1088,64,0
mixed-audio,Split,Live,50,19000,1,40,740.39,291,37492,32516,32516,1088,64,201
mixed-audio,Split,Fanout,50,19000,8,40,2700.00,1213,68948,39972,39908,1088,64,1608
mixed-audio,Chunk1200,Backlog,50,19000,1,40,418.32,190,36100,29180,29108,1024,64,0
mixed-audio,Chunk1200,Live,50,19000,1,40,592.42,241,37092,29388,29388,1112,64,151
mixed-audio,Chunk1200,Fanout,50,19000,8,40,2303.32,763,59748,36844,36780,1112,64,1208
mixed-audio,Chunk16k,Backlog,50,19000,1,40,445.61,190,36100,29180,29108,1024,64,0
mixed-audio,Chunk16k,Live,50,19000,1,40,549.33,241,37092,29388,29388,1112,64,151
mixed-audio,Chunk16k,Fanout,50,19000,8,40,2217.14,763,59748,36844,36780,1112,64,1208
mixed-video,Owned,Backlog,60,1323008,1,6,244.21,40,12300,8908,8908,0,64,0
mixed-video,Owned,Live,60,1323008,1,6,281.78,41,12492,9100,9100,0,64,61
mixed-video,Owned,Fanout,60,1323008,8,6,1566.86,123,23788,16556,16492,0,64,488
mixed-video,StreamOwned,Backlog,60,1323008,1,6,522.73,100,16620,8980,8908,0,64,0
mixed-video,StreamOwned,Live,60,1323008,1,6,508.21,161,17772,9188,9188,88,64,181
mixed-video,StreamOwned,Fanout,60,1323008,8,6,2424.26,783,43468,16660,16580,88,64,1448
mixed-video,Split,Backlog,60,1323008,1,6,1182.03,220,1340588,1337196,1337196,32856,64,0
mixed-video,Split,Live,60,1323008,1,6,1879.54,341,1342700,1337404,1337404,32856,64,241
mixed-video,Split,Fanout,60,1323008,8,6,4775.34,1443,1378956,1344860,1344796,32856,64,1928
mixed-video,Chunk1200,Backlog,60,1323008,1,6,1807.57,220,1340588,1337196,1337196,32856,64,0
mixed-video,Chunk1200,Live,60,1323008,1,6,3855.70,1356,1358940,1337404,1337404,32856,64,1256
mixed-video,Chunk1200,Fanout,60,1323008,8,6,13167.05,10578,1573836,1344860,1344796,32856,64,10048
mixed-video,Chunk16k,Backlog,60,1323008,1,6,7802.29,220,1340900,1334700,1334700,32856,64,0
mixed-video,Chunk16k,Live,60,1323008,1,6,8213.87,316,1342612,1334908,1334908,32856,64,216
mixed-video,Chunk16k,Fanout,60,1323008,8,6,7681.84,1218,1374468,1342364,1342300,32856,64,1728
