workload,input,delivery,frames,payload_bytes,readers,groups_per_sample,ns_per_frame,allocations,requested_bytes,peak_live_bytes,cached_live_bytes,retained_live_bytes,retained_payload_bytes,wakes
fixed-65537,Chunk16k,Fanout,60,3932220,8,2,22415.51,3063,4022752,3954096,3954032,65625,64,3368
fixed-262144,Owned,Backlog,32,8388608,1,1,287.72,39,9252,7396,7396,0,64,0
fixed-262144,Owned,Live,32,8388608,1,1,330.31,40,9444,7588,7588,0,64,33
fixed-262144,Owned,Fanout,32,8388608,8,1,1490.62,94,18948,15044,14980,0,64,264
fixed-262144,StreamOwned,Backlog,32,8388608,1,1,395.12,71,11556,7468,7396,0,64,0
fixed-262144,StreamOwned,Live,32,8388608,1,1,602.06,104,12260,7676,7676,88,64,97
fixed-262144,StreamOwned,Fanout,32,8388608,8,1,2376.97,446,29444,15148,15068,88,64,776
fixed-262144,Split,Backlog,32,8388608,1,1,8464.34,135,8400676,8398820,8398820,262232,64,0
fixed-262144,Split,Live,32,8388608,1,1,12059.88,200,8401892,8399028,8399028,262232,64,129
fixed-262144,Split,Fanout,32,8388608,8,1,12384.88,798,8424708,8406484,8406420,262232,64,1032
fixed-262144,Chunk1200,Backlog,32,8388608,1,1,17213.31,135,8400676,8398820,8398820,262232,64,0
fixed-262144,Chunk1200,Live,32,8388608,1,1,36665.25,7144,8512996,8399028,8399028,262232,64,7073
fixed-262144,Chunk1200,Fanout,32,8388608,8,1,123191.44,63294,9757956,8406484,8406420,262232,64,56584
fixed-262144,Chunk16k,Backlog,32,8388608,1,1,9351.34,135,8400676,8398820,8398820,262232,64,0
fixed-262144,Chunk16k,Live,32,8388608,1,1,13151.91,648,8409060,8399028,8399028,262232,64,577
fixed-262144,Chunk16k,Fanout,32,8388608,8,1,19825.75,4830,8510724,8406484,8406420,262232,64,4616
fixed-1048576,Owned,Backlog,8,8388608,1,1,449.62,37,6948,6244,6244,0,64,0
fixed-1048576,Owned,Live,8,8388608,1,1,504.75,38,7140,6436,6436,0,64,9
